,X Acl,X Unc,Y Acl,Y Unc,Accel,Acl Unc,Angle,Ang Unc,Expect,E Unc,Kinetic,K Unc
bw,-0.6791010519605455,0.0012178364574641602,0.23184034015073973,0.0004412930959067735,0.71758496507043,0.0011613094115790724,0.32898662471669626,0.0016183580594739627,3.163911546584502,0.014998379777901187,0.2639640013071263,0.0016297404391348064
tv,-0.1323909524682505,0.00038896671821004724,0.06402745555538523,0.0007321671834792465,0.14706080157658394,0.0004735308337973079,0.4504612750351742,0.003219966358953308,4.263614920761018,0.028387122444505853,0.46694291767322116,0.003301486520576367
tw,-0.8238148983989879,0.001779044049988949,0.2909041827659887,0.0006896794952507649,0.8736682610550085,0.0016931732281163451,0.33945018097757784,0.0019380047365709883,3.2607091777810595,0.017895612859124273,0.2585045083071953,0.001954681525661621
